province,city,data,AQI,type,month,day
云南省,德宏傣族景颇族自治州,108.2520408,141.565051,PM2.5,3,17
云南省,昭通市,104.9746939,137.4683673,PM2.5,1,15
云南省,德宏傣族景颇族自治州,99.12326531,130.1540816,PM2.5,4,26
云南省,德宏傣族景颇族自治州,95.25122449,125.3140306,PM2.5,4,29
云南省,昭通市,93.41806122,123.0225765,PM2.5,1,13
云南省,德宏傣族景颇族自治州,92.70795918,122.134949,PM2.5,4,27
云南省,昭通市,90.93938776,119.9242347,PM2.5,1,23
云南省,西双版纳傣族自治州,89.95839506,118.6979938,PM2.5,3,15
云南省,临沧市,81.53796296,108.1724537,PM2.5,3,17
云南省,文山壮族苗族自治州,80.45307143,106.8163393,PM2.5,12,23
云南省,德宏傣族景颇族自治州,80.42632653,106.7829082,PM2.5,3,18
云南省,德宏傣族景颇族自治州,80.17979592,106.4747449,PM2.5,4,28
云南省,德宏傣族景颇族自治州,79.57510204,105.7188776,PM2.5,4,25
云南省,德宏傣族景颇族自治州,78.30428571,104.1303571,PM2.5,3,23
云南省,西双版纳傣族自治州,78.0291358,103.7864198,PM2.5,3,7
云南省,昭通市,76.8322449,102.2903061,PM2.5,1,12
云南省,曲靖市,76.72687023,102.1585878,PM2.5,12,23
云南省,西双版纳傣族自治州,76.13049383,101.4131173,PM2.5,3,16
云南省,临沧市,75.74796296,100.9349537,PM2.5,3,27
云南省,昭通市,75.64469388,100.8058673,PM2.5,12,21
云南省,德宏傣族景颇族自治州,74.93816327,99.92270408,PM2.5,3,10
云南省,昭通市,74.3594898,99.19936224,PM2.5,12,18
云南省,德宏傣族景颇族自治州,148.1391837,99.06959184,PM10,3,17
云南省,德宏傣族景颇族自治州,73.94081633,98.67602041,PM2.5,3,27
云南省,西双版纳傣族自治州,73.89185185,98.61481481,PM2.5,3,21
云南省,西双版纳傣族自治州,73.70814815,98.38518519,PM2.5,3,22
云南省,德宏傣族景颇族自治州,73.50367347,98.12959184,PM2.5,3,16
云南省,德宏傣族景颇族自治州,73.49489796,98.11862245,PM2.5,3,22
云南省,西双版纳傣族自治州,72.57074074,96.96342593,PM2.5,3,17
云南省,保山市,72.06223529,96.32779412,PM2.5,3,17
云南省,昭通市,71.68857143,95.86071429,PM2.5,2,16
云南省,西双版纳傣族自治州,71.28308642,95.35385802,PM2.5,4,24
云南省,文山壮族苗族自治州,70.97371429,94.96714286,PM2.5,2,10
云南省,昭通市,139.4058163,94.70290816,PM10,1,15
云南省,德宏傣族景颇族自治州,70.71632653,94.64540816,PM2.5,3,11
云南省,昭通市,70.67326531,94.59158163,PM2.5,1,2
云南省,昭通市,70.32653061,94.15816327,PM2.5,12,15
云南省,昭通市,70.07153061,93.83941327,PM2.5,12,23
云南省,德宏傣族景颇族自治州,136.435102,93.21755102,PM10,4,26
云南省,昭通市,68.54581633,91.93227041,PM2.5,1,14
云南省,德宏傣族景颇族自治州,68.33387755,91.66734694,PM2.5,4,18
云南省,普洱市,68.24891753,91.56114691,PM2.5,3,17
云南省,临沧市,67.84703704,91.0587963,PM2.5,3,23
云南省,保山市,67.09494118,90.11867647,PM2.5,3,27
云南省,昭通市,66.69061224,89.61326531,PM2.5,2,8
云南省,昭通市,66.66785714,89.58482143,PM2.5,1,1
云南省,德宏傣族景颇族自治州,65.87306122,88.59132653,PM2.5,4,30
云南省,文山壮族苗族自治州,65.8165,88.520625,PM2.5,2,11
云南省,西双版纳傣族自治州,126.6317284,88.3158642,PM10,4,24
云南省,西双版纳傣族自治州,65.65148148,88.31435185,PM2.5,4,13
