province,city,data,AQI,type,month,day
黑龙江省,大庆市,124.9372165,164.1960236,PM2.5,1,13
黑龙江省,佳木斯市,123.516,162.1657143,PM2.5,12,12
黑龙江省,绥化市,121.6875904,159.5537005,PM2.5,3,31
黑龙江省,绥化市,265.9499398,157.9749699,PM10,4,17
黑龙江省,哈尔滨市,114.9654583,149.9568229,PM2.5,1,1
黑龙江省,大庆市,112.1563918,146.4454897,PM2.5,1,17
黑龙江省,七台河市,111.06,145.075,PM2.5,12,13
黑龙江省,七台河市,110.8938462,144.8673077,PM2.5,12,12
黑龙江省,哈尔滨市,109.4995417,143.1244271,PM2.5,12,12
黑龙江省,双鸭山市,105.6118519,138.2648148,PM2.5,12,12
黑龙江省,大庆市,105.2185567,137.7731959,PM2.5,1,14
黑龙江省,齐齐哈尔市,105.1617588,137.7021985,PM2.5,1,14
黑龙江省,大庆市,222.0723711,136.0361856,PM10,4,17
黑龙江省,大庆市,101.6959794,133.3699742,PM2.5,1,16
黑龙江省,七台河市,208.4384615,129.2192308,PM10,4,18
黑龙江省,齐齐哈尔市,94.22201005,124.0275126,PM2.5,1,16
黑龙江省,哈尔滨市,94.00166667,123.7520833,PM2.5,2,3
黑龙江省,大庆市,93.17680412,122.7210052,PM2.5,12,21
黑龙江省,哈尔滨市,93.05695833,122.5711979,PM2.5,12,13
黑龙江省,齐齐哈尔市,92.89371859,122.3671482,PM2.5,1,13
黑龙江省,大庆市,92.6343299,122.0429124,PM2.5,3,31
黑龙江省,七台河市,92.22576923,121.5322115,PM2.5,4,7
黑龙江省,齐齐哈尔市,91.37246231,120.4655779,PM2.5,1,17
黑龙江省,齐齐哈尔市,186.1182915,118.0591457,PM10,4,1
黑龙江省,大庆市,182.9143299,116.4571649,PM10,3,27
黑龙江省,齐齐哈尔市,86.08592965,113.8574121,PM2.5,12,21
黑龙江省,七台河市,85.21076923,112.7634615,PM2.5,3,31
黑龙江省,大庆市,85.05123711,112.5640464,PM2.5,1,1
黑龙江省,齐齐哈尔市,84.55537688,111.9442211,PM2.5,10,22
黑龙江省,绥化市,83.95981928,111.1997741,PM2.5,1,13
黑龙江省,大庆市,171.8928866,110.9464433,PM10,4,1
黑龙江省,绥化市,83.5913253,110.7391566,PM2.5,12,21
黑龙江省,绥化市,166.933494,108.466747,PM10,4,18
黑龙江省,七台河市,163.5176923,106.7588462,PM10,12,13
黑龙江省,哈尔滨市,79.907625,106.1345313,PM2.5,3,30
黑龙江省,七台河市,161.675,105.8375,PM10,12,12
黑龙江省,七台河市,78.97269231,104.9658654,PM2.5,4,6
黑龙江省,哈尔滨市,165.0629583,104.6026894,O3,6,2
黑龙江省,牡丹江市,78.57234637,104.465433,PM2.5,3,13
黑龙江省,七台河市,78.12884615,103.9110577,PM2.5,2,4
黑龙江省,大庆市,77.98360825,103.7295103,PM2.5,4,1
黑龙江省,七台河市,163.9776923,103.6160839,O3,6,2
黑龙江省,绥化市,157.1855422,103.5927711,PM10,3,31
黑龙江省,大庆市,77.42804124,103.0350515,PM2.5,10,22
黑龙江省,齐齐哈尔市,77.10356784,102.6294598,PM2.5,4,1
黑龙江省,哈尔滨市,153.90975,101.954875,PM10,3,27
黑龙江省,鸡西市,76.42316832,101.7789604,PM2.5,12,13
黑龙江省,哈尔滨市,153.143875,101.5719375,PM10,1,1
黑龙江省,绥化市,76.00421687,101.2552711,PM2.5,3,30
黑龙江省,绥化市,75.6503012,100.8128765,PM2.5,1,17
