province,city,data,AQI,type,month,day
宁夏回族自治区,银川市,485.790625,382.2382813,PM10,12,2
宁夏回族自治区,固原市,378.9542553,241.3632219,PM10,12,3
宁夏回族自治区,石嘴山市,372.6594444,232.3706349,PM10,12,2
宁夏回族自治区,中卫市,366.105625,223.0080357,PM10,3,15
宁夏回族自治区,银川市,341.5825,195.79125,PM10,11,26
宁夏回族自治区,银川市,336.939375,193.4696875,PM10,4,9
宁夏回族自治区,银川市,334.8978125,192.4489063,PM10,4,5
宁夏回族自治区,石嘴山市,328.6938889,189.3469444,PM10,4,9
宁夏回族自治区,石嘴山市,322.2311111,186.1155556,PM10,3,30
宁夏回族自治区,石嘴山市,321.3177778,185.6588889,PM10,4,5
宁夏回族自治区,固原市,304.6993617,177.3496809,PM10,4,3
宁夏回族自治区,中卫市,299.4720313,174.7360156,PM10,4,5
宁夏回族自治区,银川市,295.7646875,172.8823438,PM10,3,15
宁夏回族自治区,银川市,294.95,172.475,PM10,5,25
宁夏回族自治区,石嘴山市,288.325,169.1625,PM10,11,26
宁夏回族自治区,石嘴山市,287.4766667,168.7383333,PM10,3,16
宁夏回族自治区,石嘴山市,286.0738889,168.0369444,PM10,5,25
宁夏回族自治区,石嘴山市,285.3405556,167.6702778,PM10,7,16
宁夏回族自治区,石嘴山市,281.645,165.8225,PM10,5,19
宁夏回族自治区,银川市,280.225625,165.1128125,PM10,3,30
宁夏回族自治区,石嘴山市,278.4283333,164.2141667,PM10,3,15
宁夏回族自治区,银川市,277.5728125,163.7864062,PM10,4,4
宁夏回族自治区,中卫市,275.46625,162.733125,PM10,11,27
宁夏回族自治区,吴忠市,272.4287143,161.2143571,PM10,4,5
宁夏回族自治区,银川市,270.6040625,160.3020313,PM10,2,9
宁夏回族自治区,石嘴山市,121.8111111,159.7301587,PM2.5,5,25
宁夏回族自治区,石嘴山市,268.9838889,159.4919444,PM10,4,2
宁夏回族自治区,固原市,264.0214894,157.0107447,PM10,11,27
宁夏回族自治区,中卫市,260.486875,155.2434375,PM10,12,3
宁夏回族自治区,银川市,259.5096875,154.7548438,PM10,3,16
宁夏回族自治区,固原市,256.7953191,153.3976596,PM10,11,26
宁夏回族自治区,中卫市,256.2296875,153.1148437,PM10,3,17
宁夏回族自治区,银川市,254.0290625,152.0145313,PM10,7,15
宁夏回族自治区,中卫市,253.5967187,151.7983594,PM10,4,3
宁夏回族自治区,石嘴山市,249.9027778,149.9513889,PM10,7,15
宁夏回族自治区,固原市,249.31,149.655,PM10,4,10
宁夏回族自治区,吴忠市,247.4102857,148.7051429,PM10,3,15
宁夏回族自治区,固原市,247.3944681,148.697234,PM10,4,5
宁夏回族自治区,中卫市,246.5004688,148.2502344,PM10,3,16
宁夏回族自治区,石嘴山市,245.2083333,147.6041667,PM10,4,4
宁夏回族自治区,银川市,112.9434375,147.4292969,PM2.5,7,15
宁夏回族自治区,石嘴山市,237.8138889,143.9069444,PM10,5,16
宁夏回族自治区,银川市,236.761875,143.3809375,PM10,11,14
宁夏回族自治区,银川市,235.0878125,142.5439063,PM10,12,3
宁夏回族自治区,银川市,232.714375,141.3571875,PM10,11,28
宁夏回族自治区,石嘴山市,231.9105556,140.9552778,PM10,3,14
宁夏回族自治区,吴忠市,231.2885714,140.6442857,PM10,12,2
宁夏回族自治区,银川市,228.97375,139.486875,PM10,5,21
宁夏回族自治区,石嘴山市,228.495,139.2475,PM10,5,21
宁夏回族自治区,银川市,228.2446875,139.1223437,PM10,4,2
