province,city,data,AQI,type,month,day
重庆市,重庆市,108.4465169,141.8081461,PM2.5,2,16
重庆市,重庆市,105.4755618,138.0944522,PM2.5,12,19
重庆市,重庆市,96.48601124,126.857514,PM2.5,12,15
重庆市,重庆市,95.06752809,125.0844101,PM2.5,1,15
重庆市,重庆市,94.3483427,124.1854284,PM2.5,1,16
重庆市,重庆市,92.10227528,121.3778441,PM2.5,1,14
重庆市,重庆市,91.05058989,120.0632374,PM2.5,1,13
重庆市,重庆市,90.48452247,119.3556531,PM2.5,2,15
重庆市,重庆市,87.70550562,115.881882,PM2.5,12,20
重庆市,重庆市,85.73544944,113.4193118,PM2.5,12,22
重庆市,重庆市,84.30123596,111.6265449,PM2.5,12,23
重庆市,重庆市,83.30126404,110.3765801,PM2.5,12,21
重庆市,重庆市,80.52724719,106.909059,PM2.5,1,2
重庆市,重庆市,80.3547191,106.6933989,PM2.5,2,17
重庆市,重庆市,80.05735955,106.3216994,PM2.5,1,18
重庆市,重庆市,79.57280899,105.7160112,PM2.5,12,18
重庆市,重庆市,79.41297753,105.5162219,PM2.5,2,9
重庆市,重庆市,76.95626404,102.4453301,PM2.5,12,17
重庆市,重庆市,72.32977528,96.6622191,PM2.5,12,16
重庆市,重庆市,72.19752809,96.49691011,PM2.5,2,8
重庆市,重庆市,71.97974719,96.22468399,PM2.5,2,7
重庆市,重庆市,69.70710674,93.38388343,PM2.5,1,23
重庆市,重庆市,133.5674157,91.78370787,PM10,12,19
重庆市,重庆市,67.6833427,90.85417837,PM2.5,1,21
重庆市,重庆市,67.40235955,90.50294944,PM2.5,1,19
重庆市,重庆市,67.14407303,90.18009129,PM2.5,1,1
重庆市,重庆市,67.13235955,90.16544944,PM2.5,12,1
重庆市,重庆市,67.10491573,90.13114466,PM2.5,1,12
重庆市,重庆市,129.889691,89.94484551,PM10,1,15
重庆市,重庆市,66.60140449,89.50175562,PM2.5,12,14
重庆市,重庆市,128.0865169,89.04325843,PM10,2,16
重庆市,重庆市,65.74199438,88.42749298,PM2.5,11,30
重庆市,重庆市,126.6082865,88.30414326,PM10,1,14
重庆市,重庆市,65.46808989,88.08511236,PM2.5,2,18
重庆市,重庆市,65.09238764,87.61548455,PM2.5,1,17
重庆市,重庆市,125.0584551,87.52922753,PM10,1,13
重庆市,重庆市,64.97867978,87.47334972,PM2.5,2,14
重庆市,重庆市,62.91713483,84.89641854,PM2.5,1,20
重庆市,重庆市,117.8789045,83.93945225,PM10,12,15
重庆市,重庆市,61.75337079,83.44171348,PM2.5,2,27
重庆市,重庆市,61.67188202,83.33985253,PM2.5,2,6
重庆市,重庆市,61.34480337,82.93100421,PM2.5,1,11
重庆市,重庆市,60.65429775,82.06787219,PM2.5,11,27
重庆市,重庆市,60.61797753,82.02247191,PM2.5,2,2
重庆市,重庆市,60.25106742,81.56383427,PM2.5,1,30
重庆市,重庆市,112.5944101,81.29720506,PM10,2,15
重庆市,重庆市,112.3042978,81.15214888,PM10,1,16
重庆市,重庆市,110.7419944,80.37099719,PM10,1,2
重庆市,重庆市,59.23536517,80.29420646,PM2.5,1,29
重庆市,重庆市,59.21264045,80.26580056,PM2.5,10,30
